Sample Name	Protocol REF	Parameter Value[Post Extraction]	Parameter Value[Derivatization]	Extract Name	Protocol REF	Parameter Value[Chromatography Instrument]	Term Source REF	Term Accession Number	Parameter Value[Column model]	Parameter Value[Column type]	Labeled Extract Name	Label	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Scan polarity]	Parameter Value[Scan m/z range]	Parameter Value[Instrument]	Term Source REF	Term Accession Number	Parameter Value[Ion source]	Term Source REF	Term Accession Number	Parameter Value[Mass analyzer]	Term Source REF	Term Accession Number	MS Assay Name	Raw Spectral Data File	Protocol REF	Normalization Name	Derived Spectral Data File	Protocol REF	Data Transformation Name	Metabolite Assignment File
MCMA429	Extraction	50 µl water		MCMA429	Chromatography	Thermo Scientific Accela UHPLC System			Hypersil GOLD C18 (1.9 µm, 2.1 mm x 100 mm; Thermo Scientific)	reverse phase					Mass spectrometry	negative	100-1000	Thermo Scientific LTQ Orbitrap			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	1001_N		Data transformation	MCMA429	FILES/1001_N.mzML	Metabolite identification	MCMA429	m_MTBLS315_UPLC_NEG_nmfi_and_bsi_diagnosis_v2_maf.tsv
MCMA430	Extraction	50 µl water		MCMA430	Chromatography	Thermo Scientific Accela UHPLC System			Hypersil GOLD C18 (1.9 µm, 2.1 mm x 100 mm; Thermo Scientific)	reverse phase					Mass spectrometry	negative	100-1000	Thermo Scientific LTQ Orbitrap			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	1002_N		Data transformation	MCMA430	FILES/1002_N.mzML	Metabolite identification	MCMA430	m_MTBLS315_UPLC_NEG_nmfi_and_bsi_diagnosis_v2_maf.tsv
MCMA431	Extraction	50 µl water		MCMA431	Chromatography	Thermo Scientific Accela UHPLC System			Hypersil GOLD C18 (1.9 µm, 2.1 mm x 100 mm; Thermo Scientific)	reverse phase					Mass spectrometry	negative	100-1000	Thermo Scientific LTQ Orbitrap			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	1003_N		Data transformation	MCMA431	FILES/1003_N.mzML	Metabolite identification	MCMA431	m_MTBLS315_UPLC_NEG_nmfi_and_bsi_diagnosis_v2_maf.tsv
MCMA433	Extraction	50 µl water		MCMA433	Chromatography	Thermo Scientific Accela UHPLC System			Hypersil GOLD C18 (1.9 µm, 2.1 mm x 100 mm; Thermo Scientific)	reverse phase					Mass spectrometry	negative	100-1000	Thermo Scientific LTQ Orbitrap			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	1004_N		Data transformation	MCMA433	FILES/1004_N.mzML	Metabolite identification	MCMA433	m_MTBLS315_UPLC_NEG_nmfi_and_bsi_diagnosis_v2_maf.tsv
MCMA434	Extraction	50 µl water		MCMA434	Chromatography	Thermo Scientific Accela UHPLC System			Hypersil GOLD C18 (1.9 µm, 2.1 mm x 100 mm; Thermo Scientific)	reverse phase					Mass spectrometry	negative	100-1000	Thermo Scientific LTQ Orbitrap			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	1005_N		Data transformation	MCMA434	FILES/1005_N.mzML	Metabolite identification	MCMA434	m_MTBLS315_UPLC_NEG_nmfi_and_bsi_diagnosis_v2_maf.tsv
MCMA435	Extraction	50 µl water		MCMA435	Chromatography	Thermo Scientific Accela UHPLC System			Hypersil GOLD C18 (1.9 µm, 2.1 mm x 100 mm; Thermo Scientific)	reverse phase					Mass spectrometry	negative	100-1000	Thermo Scientific LTQ Orbitrap			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	1006_N		Data transformation	MCMA435	FILES/1006_N.mzML	Metabolite identification	MCMA435	m_MTBLS315_UPLC_NEG_nmfi_and_bsi_diagnosis_v2_maf.tsv
MCMA436	Extraction	50 µl water		MCMA436	Chromatography	Thermo Scientific Accela UHPLC System			Hypersil GOLD C18 (1.9 µm, 2.1 mm x 100 mm; Thermo Scientific)	reverse phase					Mass spectrometry	negative	100-1000	Thermo Scientific LTQ Orbitrap			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	1007_N		Data transformation	MCMA436	FILES/1007_N.mzML	Metabolite identification	MCMA436	m_MTBLS315_UPLC_NEG_nmfi_and_bsi_diagnosis_v2_maf.tsv
MCMA442	Extraction	50 µl water		MCMA442	Chromatography	Thermo Scientific Accela UHPLC System			Hypersil GOLD C18 (1.9 µm, 2.1 mm x 100 mm; Thermo Scientific)	reverse phase					Mass spectrometry	negative	100-1000	Thermo Scientific LTQ Orbitrap			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	1009_N		Data transformation	MCMA442	FILES/1009_N.mzML	Metabolite identification	MCMA442	m_MTBLS315_UPLC_NEG_nmfi_and_bsi_diagnosis_v2_maf.tsv
MCMA443	Extraction	50 µl water		MCMA443	Chromatography	Thermo Scientific Accela UHPLC System			Hypersil GOLD C18 (1.9 µm, 2.1 mm x 100 mm; Thermo Scientific)	reverse phase					Mass spectrometry	negative	100-1000	Thermo Scientific LTQ Orbitrap			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	1010_N		Data transformation	MCMA443	FILES/1010_N.mzML	Metabolite identification	MCMA443	m_MTBLS315_UPLC_NEG_nmfi_and_bsi_diagnosis_v2_maf.tsv
MCMA444	Extraction	50 µl water		MCMA444	Chromatography	Thermo Scientific Accela UHPLC System			Hypersil GOLD C18 (1.9 µm, 2.1 mm x 100 mm; Thermo Scientific)	reverse phase					Mass spectrometry	negative	100-1000	Thermo Scientific LTQ Orbitrap			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	1011_N		Data transformation	MCMA444	FILES/1011_N.mzML	Metabolite identification	MCMA444	m_MTBLS315_UPLC_NEG_nmfi_and_bsi_diagnosis_v2_maf.tsv
